id,entity_type,external_id,name,address,latitude,longitude,category,has_image_candidate,duplicate_source_table,duplicate_source_id,duplicate_match_score,score,review_bucket,review_reasons,source_url
551,restaurant,osm-node-729406556,Ca Phe Thanh Thanh,Da Nang,16.058284,108.1774163,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406556
552,restaurant,osm-node-729406557,BachDat Coffee,Da Nang,16.0624685,108.2176904,ca-phe-tra-sua,False,locations,59,80.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/729406557
554,restaurant,osm-node-729406559,Ca Phe Van Anh,Da Nang,16.0712642,108.1928766,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406559
559,restaurant,osm-node-729406565,Cafe Anh Linh,Da Nang,16.0687243,108.2015572,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406565
569,restaurant,osm-node-729406575,Ca Phe Jet,Da Nang,16.059902,108.2123879,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406575
571,restaurant,osm-node-729406577,Ca Phe Huong Xuan,Da Nang,16.0569523,108.1673985,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406577
574,restaurant,osm-node-729406581,AnhLinh Coffee,Da Nang,16.069094,108.2015631,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406581
580,restaurant,osm-node-729406588,42Coffee,Da Nang,16.0645165,108.2097208,ca-phe-tra-sua,False,locations,77,80.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/729406588
581,restaurant,osm-node-729406589,Ca Phe Hoang Uyen,Da Nang,16.0682022,108.1937456,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406589
583,restaurant,osm-node-729406592,Cafe Giai Khat Loc Vung,Da Nang,16.0710734,108.1433576,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406592
585,restaurant,osm-node-729406594,352Coffee,Da Nang,16.0549851,108.218971,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406594
592,restaurant,osm-node-729406602,Cafe Thanh Thuy,Da Nang,16.0626452,108.1571871,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406602
596,restaurant,osm-node-729406606,Cafe Mat Trang Xanh,Da Nang,16.0628102,108.1567579,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406606
598,restaurant,osm-node-729406608,Ca Phe Huong Ngoc Lan,Da Nang,16.0562723,108.1659995,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406608
600,restaurant,osm-node-729406610,Ca Phe 54,Da Nang,16.0701198,108.1505084,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406610
601,restaurant,osm-node-729406611,Cafe Kieu Diem,Da Nang,16.0705631,108.1479335,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406611
603,restaurant,osm-node-729406613,Cafe Hai Quynh,Da Nang,16.0534176,108.2176226,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406613
605,restaurant,osm-node-729406615,Ca Phe Hung,Da Nang,16.0784395,108.2184863,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406615
608,restaurant,osm-node-729406618,Ca Phe Brown,Da Nang,16.0715138,108.2117833,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406618
609,restaurant,osm-node-729406620,Cafe New Style,Da Nang,16.0161779,108.2022267,ca-phe-tra-sua,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/729406620
615,restaurant,osm-node-729406626,Cafe 50,Da Nang,16.0641453,108.2214904,ca-phe-tra-sua,False,locations,53,70.00,0,duplicate_reject_or_link,weak_address;missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/729406626
